Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
36	Spectrogram 1	1	218.9314286	221.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	39	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4962	3	42	60
37	Spectrogram 1	1	224.9314286	227.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	45	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4293	3	48	60
38	Spectrogram 1	1	227.9314286	230.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	48	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.7644	3	51	60
39	Spectrogram 1	1	230.9314286	233.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	51	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9597	3	54	60
40	Spectrogram 1	1	233.9314286	236.9314286	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_150000.wav	54	TURBERABLEST_20230117_150000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8691	3	57	60
41	Spectrogram 1	1	239.9085714	242.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	0	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9997	3	3	60
42	Spectrogram 1	1	242.9085714	245.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	3	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9994	3	6	60
43	Spectrogram 1	1	245.9085714	248.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	6	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9983	3	9	60
44	Spectrogram 1	1	248.9085714	251.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	9	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9993	3	12	60
45	Spectrogram 1	1	251.9085714	254.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	12	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	15	60
46	Spectrogram 1	1	254.9085714	257.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	15	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9998	3	18	60
47	Spectrogram 1	1	257.9085714	260.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	18	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	21	60
48	Spectrogram 1	1	260.9085714	263.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	21	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	24	60
49	Spectrogram 1	1	263.9085714	266.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	24	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	27	60
50	Spectrogram 1	1	266.9085714	269.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	27	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	30	60
51	Spectrogram 1	1	269.9085714	272.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	30	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	33	60
52	Spectrogram 1	1	272.9085714	275.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	33	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	36	60
53	Spectrogram 1	1	275.9085714	278.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	36	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	39	60
54	Spectrogram 1	1	278.9085714	281.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	39	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	42	60
55	Spectrogram 1	1	281.9085714	284.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	42	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	45	60
56	Spectrogram 1	1	284.9085714	287.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	45	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	48	60
57	Spectrogram 1	1	287.9085714	290.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	48	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	51	60
58	Spectrogram 1	1	290.9085714	293.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	51	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9998	3	54	60
59	Spectrogram 1	1	293.9085714	296.9085714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	54	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	57	60
60	Spectrogram 1	1	296.9085714	299.8885714	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230117_180000.wav	57	TURBERABLEST_20230117_180000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	60	60
61	Spectrogram 1	1	359.8628571	362.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	0	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	3	60
62	Spectrogram 1	1	362.8628571	365.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	3	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	6	60
63	Spectrogram 1	1	365.8628571	368.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	6	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	9	60
64	Spectrogram 1	1	368.8628571	371.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	9	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	12	60
65	Spectrogram 1	1	371.8628571	374.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	12	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	15	60
66	Spectrogram 1	1	374.8628571	377.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	15	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	18	60
67	Spectrogram 1	1	377.8628571	380.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	18	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	1	3	21	60
68	Spectrogram 1	1	380.8628571	383.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	21	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9999	3	24	60
69	Spectrogram 1	1	395.8628571	398.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	36	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8866	3	39	60
70	Spectrogram 1	1	398.8628571	401.8628571	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230118_110000.wav	39	TURBERABLEST_20230118_110000.wav	Batrachyla taeniata	Batrachyla taeniata	0.9924	3	42	60
71	Spectrogram 1	1	428.84	431.84	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_080000.wav	9	TURBERABLEST_20230122_080000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3352	3	12	60
72	Spectrogram 1	1	431.84	434.84	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_080000.wav	12	TURBERABLEST_20230122_080000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4038	3	15	60
73	Spectrogram 1	1	443.84	446.84	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_080000.wav	24	TURBERABLEST_20230122_080000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3334	3	27	60
74	Spectrogram 1	1	491.8171429	494.8171429	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_090000.wav	12	TURBERABLEST_20230122_090000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3304	3	15	60
75	Spectrogram 1	1	563.7942857	566.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	24	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.26	3	27	60
