Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
65	Spectrogram 1	1	191.9314286	194.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	12	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	15	60
66	Spectrogram 1	1	194.9314286	197.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	15	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.999	3	18	60
67	Spectrogram 1	1	197.9314286	200.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	18	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9983	3	21	60
68	Spectrogram 1	1	200.9314286	203.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	21	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.3644	3	24	60
69	Spectrogram 1	1	203.9314286	206.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	24	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9975	3	27	60
70	Spectrogram 1	1	206.9314286	209.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	27	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9975	3	30	60
71	Spectrogram 1	1	209.9314286	212.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	30	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9996	3	33	60
72	Spectrogram 1	1	212.9314286	215.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	33	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9944	3	36	60
73	Spectrogram 1	1	215.9314286	218.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	36	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9962	3	39	60
74	Spectrogram 1	1	218.9314286	221.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	39	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9976	3	42	60
75	Spectrogram 1	1	221.9314286	224.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	42	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9978	3	45	60
76	Spectrogram 1	1	224.9314286	227.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	45	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9882	3	48	60
77	Spectrogram 1	1	227.9314286	230.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	48	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9982	3	51	60
78	Spectrogram 1	1	230.9314286	233.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	51	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9992	3	54	60
79	Spectrogram 1	1	233.9314286	236.9314286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	54	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9995	3	57	60
80	Spectrogram 1	1	236.9314286	239.9114286	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_060000.wav	57	TURBERABLEST_20230102_060000.wav	Batrachyla antartandica	Batrachyla antartandica	0.4957	3	60	60
81	Spectrogram 1	1	386.8628571	389.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	27	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9996	3	30	60
82	Spectrogram 1	1	389.8628571	392.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	30	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9995	3	33	60
83	Spectrogram 1	1	392.8628571	395.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	33	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9968	3	36	60
84	Spectrogram 1	1	395.8628571	398.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	36	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	39	60
85	Spectrogram 1	1	398.8628571	401.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	39	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9989	3	42	60
86	Spectrogram 1	1	401.8628571	404.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	42	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	45	60
87	Spectrogram 1	1	404.8628571	407.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	45	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	48	60
88	Spectrogram 1	1	407.8628571	410.8628571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	48	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9999	3	51	60
89	Spectrogram 1	1	416.8628571	419.8428571	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230102_140000.wav	57	TURBERABLEST_20230102_140000.wav	Batrachyla antartandica	Batrachyla antartandica	0.3782	3	60	60
90	Spectrogram 1	1	479.8171429	482.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	0	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.3913	3	3	60
91	Spectrogram 1	1	482.8171429	485.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	3	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.6711	3	6	60
92	Spectrogram 1	1	485.8171429	488.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	6	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.3388	3	9	60
93	Spectrogram 1	1	488.8171429	491.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	9	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.8486	3	12	60
94	Spectrogram 1	1	503.8171429	506.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	24	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.995	3	27	60
95	Spectrogram 1	1	506.8171429	509.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	27	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.996	3	30	60
