Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
110	Spectrogram 1	1	378	381	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	18	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.5573	3	21	60
111	Spectrogram 1	1	381	384	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	21	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.6437	3	24	60
112	Spectrogram 1	1	384	387	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	24	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.7303	3	27	60
113	Spectrogram 1	1	387	390	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	27	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.758	3	30	60
114	Spectrogram 1	1	390	393	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	30	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.9328	3	33	60
115	Spectrogram 1	1	393	396	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	33	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.9507	3	36	60
116	Spectrogram 1	1	396	399	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	36	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.8435	3	39	60
117	Spectrogram 1	1	399	402	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	39	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.975	3	42	60
118	Spectrogram 1	1	402	405	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	42	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.5578	3	45	60
119	Spectrogram 1	1	405	408	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	45	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.9814	3	48	60
120	Spectrogram 1	1	408	411	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	48	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.9953	3	51	60
121	Spectrogram 1	1	411	414	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	51	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.7982	3	54	60
122	Spectrogram 1	1	414	417	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	54	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.2977	3	57	60
123	Spectrogram 1	1	417	420	0	15000	E:\Pedido Marcelo\thaul\Audios\20231211_210000.WAV	57	20231211_210000.WAV	Pleurodema thaul	Pleurodema thaul	0.5872	3	60	60
124	Spectrogram 1	1	420	423	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	0	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9505	3	3	60
125	Spectrogram 1	1	423	426	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	3	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9786	3	6	60
126	Spectrogram 1	1	426	429	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	6	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9866	3	9	60
127	Spectrogram 1	1	429	432	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	9	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9818	3	12	60
128	Spectrogram 1	1	432	435	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	12	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.9349	3	15	60
129	Spectrogram 1	1	435	438	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	15	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.986	3	18	60
130	Spectrogram 1	1	438	441	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	18	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.863	3	21	60
131	Spectrogram 1	1	441	444	0	15000	E:\Pedido Marcelo\thaul\Audios\20231212_050000.WAV	21	20231212_050000.WAV	Pleurodema thaul	Pleurodema thaul	0.6141	3	24	60
