Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
34	Waveform 1	1	242.9085714	245.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	3	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.4253	3	6	60
34	Spectrogram 1	1	242.9085714	245.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	3	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.4253	3	6	60
35	Waveform 1	1	245.9085714	248.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	6	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9849	3	9	60
35	Spectrogram 1	1	245.9085714	248.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	6	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9849	3	9	60
36	Waveform 1	1	251.9085714	254.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	12	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9958	3	15	60
36	Spectrogram 1	1	251.9085714	254.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	12	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9958	3	15	60
37	Waveform 1	1	254.9085714	257.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	15	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9828	3	18	60
37	Spectrogram 1	1	254.9085714	257.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	15	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9828	3	18	60
38	Waveform 1	1	257.9085714	260.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	18	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9759	3	21	60
38	Spectrogram 1	1	257.9085714	260.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	18	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9759	3	21	60
39	Waveform 1	1	260.9085714	263.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	21	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.992	3	24	60
39	Spectrogram 1	1	260.9085714	263.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	21	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.992	3	24	60
40	Waveform 1	1	263.9085714	266.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	24	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6729	3	27	60
40	Spectrogram 1	1	263.9085714	266.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	24	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6729	3	27	60
41	Waveform 1	1	266.9085714	269.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	27	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9751	3	30	60
41	Spectrogram 1	1	266.9085714	269.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	27	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9751	3	30	60
42	Waveform 1	1	269.9085714	272.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	30	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.964	3	33	60
42	Spectrogram 1	1	269.9085714	272.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	30	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.964	3	33	60
43	Waveform 1	1	272.9085714	275.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	33	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9865	3	36	60
43	Spectrogram 1	1	272.9085714	275.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	33	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9865	3	36	60
44	Waveform 1	1	278.9085714	281.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	39	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9085	3	42	60
44	Spectrogram 1	1	278.9085714	281.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	39	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9085	3	42	60
45	Waveform 1	1	281.9085714	284.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	42	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.2767	3	45	60
45	Spectrogram 1	1	281.9085714	284.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	42	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.2767	3	45	60
46	Waveform 1	1	290.9085714	293.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	51	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9801	3	54	60
46	Spectrogram 1	1	290.9085714	293.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	51	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9801	3	54	60
47	Waveform 1	1	293.9085714	296.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	54	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9753	3	57	60
47	Spectrogram 1	1	293.9085714	296.9085714	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_160000.wav	54	TURBERABLEST_20230104_160000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9753	3	57	60
48	Waveform 1	1	299.8857143	302.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	0	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.8169	3	3	60
